#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     9000  3.92928809e-01  4.35369512e-05   1.30520958e-03   1.30520958e-04   1.29304329e-15   8.26329595e-03   8.26329595e-04   4.32986980e-15  -1.22298005e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9100  3.97285437e-01  4.35960625e-05   1.31460876e-03   1.31460876e-04   1.34746069e-15   8.38268984e-03   8.38268984e-04   4.77395901e-15   1.13624388e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9200  4.01648292e-01  4.36614314e-05   1.32396403e-03   1.32396403e-04   1.33008472e-15   8.50041882e-03   8.50041881e-04   4.77395901e-15   2.25514052e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9300  4.06018001e-01  4.37330783e-05   1.33328401e-03   1.33328401e-04   1.35216520e-15   8.61639116e-03   8.61639116e-04   5.77315973e-15   2.60208521e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9400  4.10395193e-01  4.38110255e-05   1.34257759e-03   1.34257759e-04   1.15429175e-15   8.73051308e-03   8.73051308e-04   4.77395901e-15   2.53269627e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9500  4.14780498e-01  4.38952967e-05   1.35185381e-03   1.35185381e-04   1.22455973e-15   8.84268863e-03   8.84268863e-04   5.32907052e-15  -3.64291930e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9600  4.19174551e-01  4.39859175e-05   1.36112194e-03   1.36112194e-04   1.46959989e-15   8.95281960e-03   8.95281960e-04   5.10702591e-15  -9.71445147e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9700  4.23577988e-01  4.40829150e-05   1.37039143e-03   1.37039143e-04   1.44158562e-15   9.06080540e-03   9.06080540e-04   5.21804822e-15   1.90819582e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9800  4.27991448e-01  4.41863180e-05   1.37967191e-03   1.37967191e-04   1.54855792e-15   9.16654300e-03   9.16654300e-04   9.99200722e-15  -6.24500451e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     9900  4.32415573e-01  4.42961572e-05   1.38897315e-03   1.38897315e-04   1.59161441e-15   9.26992680e-03   9.26992680e-04   9.99200722e-15   1.05818132e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
